food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Soy Sauce,100ml,67 cal,281 kJ,1 tbsp (15 ml),10 cal,42 kJ,1 fl. oz. (30 ml),20 cal,84 kJ
Sweet and Sour Sauce,100g,179 cal,752 kJ,1 tbsp (15 g),27 cal,113 kJ,1 oz. (28 g),50 cal,211 kJ
Tabasco,100g,70 cal,294 kJ,1 tsp (5 g),4 cal,15 kJ,1 oz. (28 g),20 cal,82 kJ
Teriyaki Sauce,100g,89 cal,374 kJ,1 tbsp (18 g),16 cal,67 kJ,1 oz. (28 g),25 cal,105 kJ
Thai Curry Paste,100g,155 cal,651 kJ,1 tbsp (15 g),23 cal,98 kJ,1 oz. (28 g),43 cal,182 kJ
Tomato Paste,100g,82 cal,344 kJ,1 tbsp (17 g),14 cal,58 kJ,1 oz. (28 g),23 cal,96 kJ
Tomato Puree,100g,38 cal,160 kJ,1 tbsp (15 g),6 cal,24 kJ,1 oz. (28 g),11 cal,45 kJ
Tomato Sauce,100g,24 cal,101 kJ,1 cup (245 g),59 cal,247 kJ,1 oz. (28 g),7 cal,28 kJ
Tzatziki,100g,94 cal,395 kJ,1 tbsp (15 g),14 cal,59 kJ,1 oz. (28 g),26 cal,111 kJ
Vinaigrette,100ml,120 cal,504 kJ,1 tbsp (15 ml),18 cal,76 kJ,1 fl. oz. (30 ml),36 cal,151 kJ
Worcestershire Sauce,100ml,78 cal,328 kJ,1 tbsp (15 ml),12 cal,49 kJ,1 fl. oz. (30 ml),23 cal,98 kJ
Yogurt Dressing,100ml,45 cal,189 kJ,1 tbsp (15 ml),7 cal,28 kJ,1 fl. oz. (30 ml),14 cal,57 kJ
Zesty Italian Dressing,100ml,267 cal,1121 kJ,1 tbsp (15 ml),40 cal,168 kJ,1 fl. oz. (30 ml),80 cal,336 kJ
Andouille,100g,232 cal,974 kJ,1 link (85 g),197 cal,828 kJ,1 oz. (28 g),65 cal,273 kJ
Bacon,100g,407 cal,1709 kJ,1 slice (26 g),106 cal,444 kJ,1 oz. (28 g),114 cal,479 kJ
Black Pudding,100g,379 cal,1592 kJ,1 slice (25 g),95 cal,398 kJ,1 oz. (28 g),106 cal,446 kJ
Blood Sausage,100g,379 cal,1592 kJ,1 slice (25 g),95 cal,398 kJ,1 oz. (28 g),106 cal,446 kJ
Bockwurst,100g,301 cal,1264 kJ,1 sausage (91 g),274 cal,1150 kJ,1 oz. (28 g),84 cal,354 kJ
Boiled Ham,100g,104 cal,437 kJ,1 serving (63 g),66 cal,275 kJ,1 oz. (28 g),29 cal,122 kJ
